stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
4577,,Canada,,45.366680,12.335499,,,,,,
4578,,Civico 40,,45.360973,12.332125,,,,,,
4579,,Civico 41,,45.361156,12.332352,,,,,,
4580,,Colonia Morosini,,45.358440,12.329723,,,,,,
4581,,Colonia Morosini,,45.358528,12.329983,,,,,,
4582,,IRCCS S.Camillo,,45.354595,12.326283,,,,,,
4583,,IRCCS S.Camillo,,45.354729,12.326589,,,,,,
4584,,Stella Maris,,45.352135,12.324331,,,,,,
4585,,Stella Maris,,45.352306,12.324622,,,,,,
4586,,via Ca' Rossa,,45.348988,12.319267,,,,,,
1946,,Civico 4,,45.388630,12.017770,,,,,,
1947,,Fronte Civico 45,,45.383644,12.086059,,,,,,
1948,,Fronte Civico 42,,45.383575,12.086565,,,,,,
2001,,Localita' Passetto,,45.097275,12.056532,,,,,,
2002,,Incr. via Sabbioni,,45.082169,12.058259,,,,,,
2003,,Ponti Novi,,45.065887,12.057684,,,,,,
2004,,Incr. via Sabbioni,,45.082142,12.058672,,,,,,
2005,,Localita' Passetto,,45.097244,12.056767,,,,,,
2006,,Ponti Novi,,45.065903,12.058137,,,,,,
2007,,Ponte Grignella,,45.072308,12.099315,,,,,,
2008,,Civico 60,,45.087536,12.109254,,,,,,
2009,,Civico 13,,45.079044,12.088490,,,,,,
2010,,Scuola Elementare,,45.075783,12.093864,,,,,,
2011,,Borgo S.Maria,,45.102467,12.059148,,,,,,
2012,,Borgo S.Maria,,45.102356,12.059383,,,,,,
2013,,Baggiolina - Botta,,45.110481,12.068046,,,,,,
2014,,Baggiolina - Botta,,45.110439,12.068411,,,,,,
2015,,Ca' Labia,,45.125538,12.076960,,,,,,
2016,,Ca' Labia,,45.125629,12.076694,,,,,,
2017,,Woom - Woom,,45.130608,12.078856,,,,,,
2018,,Woom - Woom,,45.130836,12.078642,,,,,,
2019,,Civico 19,,45.131111,12.039602,,,,,,
2020,,Civico 17,,45.131325,12.039495,,,,,,
2021,,Chiesa,,45.459774,12.067975,,,,,,
2022,,Chiesa,,45.459694,12.068141,,,,,,
2023,,Civico 10,,45.126045,12.030917,,,,,,
2024,,Civico 10,,45.125626,12.030951,,,,,,
2025,,Botti Barbarighe,,45.118916,12.026060,,,,,,
2026,,S.P.29 Cisterna Acqua,,45.134762,12.020034,,,,,,
2027,,S.P. 29 Cisterna Acqua,,45.134945,12.019778,,,,,,
2028,,Civico 63,,45.134945,11.984902,,,,,,
2029,,Papafava - Capolinea,,45.134972,11.979219,,,,,,
2030,,Pettorazza Grimani,,45.135231,11.990333,,,,,,
2031,,Pettorazza Grimani,,45.135456,11.990270,,,,,,
